PM_ID,ID,Group,Trial number,Choice,Reward,Effort,Outcome,Agent,Success,force_norm
132,1,1,1,2,4,6,0,2,0,0.0410357845972498
132,1,1,2,0,2,4,1,1,1,0.0489651152726468
132,1,1,3,1,6,2,10,2,1,0.394377770878012
132,1,1,4,0,4,4,1,1,1,0.0501176013177942
132,1,1,5,1,6,2,10,2,1,0.3981031292117
132,1,1,6,0,3,5,1,1,1,0.0639591115605118
132,1,1,7,0,3,2,1,2,1,0.0537345974559098
132,1,1,8,0,4,5,1,2,1,0.0508246174179092
132,1,1,9,1,5,5,8,2,1,0.692164297009272
132,1,1,10,0,4,6,1,2,1,0.0476632233477084
132,1,1,11,1,6,3,10,1,1,0.521673812961699
132,1,1,12,0,3,5,1,2,1,0.0791607305020175
132,1,1,13,1,5,6,8,1,1,0.909819641343458
132,1,1,14,1,6,3,10,1,1,0.532278711001631
132,1,1,15,1,5,6,8,1,1,0.886968784818439
132,1,1,16,1,5,4,8,2,1,0.607647451582191
132,1,1,17,1,5,2,8,1,1,0.418713584463437
132,1,1,18,1,5,6,8,1,1,0.835936373015993
132,1,1,19,1,3,3,4,1,1,0.474340484665805
132,1,1,20,0,3,6,1,2,1,0.0551242438688635
132,1,1,21,0,3,4,1,2,1,0.063202636962259
132,1,1,22,1,5,6,8,2,1,0.965947995763055
132,1,1,23,1,4,2,6,1,1,0.424657019053886
132,1,1,24,1,4,2,6,2,1,0.418571563012187
132,1,1,25,0,3,4,1,2,1,0.0692401800838871
132,1,1,26,1,5,4,8,1,1,0.647972098537814
132,1,1,27,0,2,4,1,2,1,0.0406724020206544
132,1,1,28,0,3,4,1,1,1,0.0330473784935216
132,1,1,29,0,2,3,1,2,1,0.0354352966067349
132,1,1,30,1,6,4,10,1,1,0.600356272917488
132,1,1,31,1,5,2,8,2,1,0.359945210974841
132,1,1,32,0,2,6,1,1,1,0.0399464955219451
132,1,1,33,1,4,4,6,1,1,0.644585565262549
132,1,1,34,1,4,5,6,2,1,0.828555894285208
132,1,1,35,1,6,5,10,1,1,0.920409255333618
132,1,1,36,1,5,4,8,1,1,0.610912055921075
132,1,1,37,1,6,6,10,1,1,0.931005395097839
132,1,1,38,0,2,5,1,1,1,0.0550117601317794
132,1,1,39,1,5,3,8,2,1,0.472313544896639
132,1,1,40,0,3,6,1,1,1,0.0671563973880418
132,1,1,41,0,3,4,1,2,1,0.0700861264791182
132,1,1,42,1,4,5,6,2,1,0.765512967056519
132,1,1,43,1,6,6,10,1,1,1
132,1,1,44,0,2,6,1,1,1,0.0538117046283537
132,1,1,45,1,6,3,10,1,1,0.479819043719938
132,1,1,46,1,6,2,10,1,1,0.452730727328431
132,1,1,47,1,6,6,10,2,1,0.936255380328981
132,1,1,48,1,3,3,4,1,1,0.569085794008103
132,1,1,49,1,5,3,8,2,1,0.487992919191683
132,1,1,50,1,4,4,6,2,1,0.615871644206555
132,1,1,51,1,3,3,4,2,1,0.53610041036815
132,1,1,52,1,3,2,4,1,1,0.383322250966158
132,1,1,53,0,2,3,1,1,1,0.0347969728651445
132,1,1,54,1,6,2,10,1,1,0.419814036047002
132,1,1,55,1,5,5,8,1,1,0.758601141941768
132,1,1,56,0,2,4,1,2,1,0.044920337471819
132,1,1,57,0,3,6,1,1,1,0.0417865920759243
132,1,1,58,1,5,5,8,2,1,0.681732160251029
132,1,1,59,1,4,6,6,1,1,0.91271931752768
132,1,1,60,0,2,4,1,2,1,0.0576711847920614
132,1,1,61,0,2,5,1,2,1,0.0622158712320524
132,1,1,62,1,5,3,8,2,1,0.483772288953032
132,1,1,63,1,4,4,6,2,1,0.622195806194127
132,1,1,64,1,3,3,4,2,1,0.490012131070515
132,1,1,65,1,6,4,10,1,1,0.648415507712091
132,1,1,66,1,6,5,10,2,1,0.739336369993529
132,1,1,67,1,2,2,2,1,1,0.426874236656166
132,1,1,68,1,5,6,8,2,1,0.887542881204809
132,1,1,69,1,5,4,8,2,1,0.664133177997013
132,1,1,70,0,3,6,1,1,1,0.0559925152806152
132,1,1,71,1,5,2,8,2,1,0.444520101444875
132,1,1,72,1,4,3,6,2,1,0.548880967133454
132,1,1,73,1,6,3,10,2,1,0.565727768061625
132,1,1,74,2,2,2,0,2,0,0.0744018956343259
132,1,1,75,0,4,6,1,2,1,0.0855195821306446
132,1,1,76,1,2,5,2,1,1,0.711589465614666
132,1,1,77,1,5,2,8,1,1,0.407928540713274
132,1,1,78,1,3,2,4,1,1,0.427396985504539
132,1,1,79,1,6,6,10,1,1,0.939246589080937
132,1,1,80,0,2,5,1,2,1,0.0727936357903674
132,1,1,81,0,2,3,1,1,1,0.0690007872144287
132,1,1,82,0,2,6,1,2,1,0.0917887902313971
132,1,1,83,1,4,5,6,1,1,0.74664489347876
132,1,1,84,1,4,3,6,1,1,0.520294470402524
132,1,1,85,1,5,4,8,2,1,0.644716767667331
132,1,1,86,1,4,5,6,1,1,0.77568304246699
132,1,1,87,0,3,6,1,2,1,0.048634018104558
132,1,1,88,1,3,2,4,2,1,0.361863445086642
132,1,1,89,1,5,4,8,1,1,0.772127010797065
132,1,1,90,0,2,3,1,1,1,0.0665592890615662
132,1,1,91,1,6,5,10,1,1,0.783721937454234
132,1,1,92,0,3,5,1,2,1,0.0589498930459978
132,1,1,93,1,5,6,8,2,1,0.979464075957262
132,1,1,94,1,5,5,8,1,1,0.824537219580619
132,1,1,95,0,2,4,1,1,1,0.056632212869376
132,1,1,96,1,6,6,10,2,1,0.855289758106729
132,1,1,97,1,4,2,6,1,1,0.42642378651514
132,1,1,98,1,2,3,2,2,1,0.516851781124164
132,1,1,99,0,3,5,1,2,1,0.0620346951364436
132,1,1,100,1,2,2,2,2,1,0.369500489776516
132,1,1,101,0,2,6,1,2,1,0.0828223766731741
132,1,1,102,1,6,5,10,2,1,0.760289084921615
132,1,1,103,0,3,4,1,1,1,0.085154997437775
132,1,1,104,1,6,3,10,2,1,0.475582957700619
132,1,1,105,0,2,2,1,2,1,0.0708578851271427
132,1,1,106,0,2,6,1,2,1,0.0514534959602024
132,1,1,107,1,5,2,8,1,1,0.374967371129701
132,1,1,108,1,5,5,8,2,1,0.76338419086584
132,1,1,109,1,6,2,10,1,1,0.389115764484127
132,1,1,110,1,6,4,10,2,1,0.602893081717804
132,1,1,111,1,6,5,10,1,1,0.752962014499583
